,track_name,weeks,max_rank,min_rank,avg_rank
Solitude Standing,Solitude Standing,3,97,94,95.33333333333333
Son Of A Gun,Son Of A Gun,12,88,28,48.333333333333336
Heart,Heart,39,135,15,69.71794871794872
Kisses On The Wind,Kisses On The Wind,14,79,8,36.142857142857146
Get Money,Get Money,20,55,17,40.6
Player's Anthem,Player's Anthem,20,95,13,43.55
Sock It 2 Me,Sock It 2 Me,20,61,12,30.75
If I Ruled The World,If I Ruled The World,30,135,34,62.86666666666667
Oops,Oops,20,92,7,27.65
Young'n,Young'n,20,99,33,56.8
No More Rain,No More Rain,17,100,56,73.47058823529412
Ease My Mind,Ease My Mind,12,93,45,61.25
Alfie,Alfie,36,135,15,62.361111111111114
I Say A Little Prayer,I Say A Little Prayer,44,91,4,37.02272727272727
Make It Easy On Yourself,Make It Easy On Yourself,31,130,16,53.83870967741935
Get Away,Get Away,24,124,14,54.625
In The Meantime,In The Meantime,25,124,32,71.64
"Yeh, Yeh","Yeh, Yeh",0,,,
Fox On The Run,Fox On The Run,22,114,5,50.27272727272727
Treat  Em Right,Treat  Em Right,0,,,
Sound Of Da Police,Sound Of Da Police,6,100,89,92.0
It's Only Love/Beyond The Reef,It's Only Love/Beyond The Reef,0,,,
Give It Away,Give It Away,43,112,35,84.76744186046511
Californication,Californication,19,97,69,77.6842105263158
Otherside,Otherside,22,80,14,36.18181818181818
Scar Tissue,Scar Tissue,29,89,9,29.586206896551722
Dreamer,Dreamer,41,100,15,67.21951219512195
Give A Little Bit,Give A Little Bit,38,99,15,47.28947368421053
The Logical Song,The Logical Song,21,100,6,35.0
19th Nervous Breakdown,19th Nervous Breakdown,10,46,2,12.0
As Tears Go By,As Tears Go By,20,128,6,41.3
Let's Spend The Night Together,Let's Spend The Night Together,8,85,55,63.125
"Paint It, Black","Paint It, Black",0,,,
Ruby Tuesday,Ruby Tuesday,19,85,1,35.578947368421055
"Love, Reign O'er Me","Love, Reign O'er Me",0,,,
Barrel Of A Gun,Barrel Of A Gun,5,90,47,68.4
It's No Good,It's No Good,20,93,38,61.25
Gloria,Gloria,86,113,2,51.03488372093023
I Belong To You,I Belong To You,51,107,6,43.31372549019608
Frozen,Frozen,20,62,2,21.2
Ray Of Light,Ray Of Light,20,71,5,36.45
Mercy Mercy Me,Mercy Mercy Me,29,95,4,34.13793103448276
Should I Stay Or Should I Go?,Should I Stay Or Should I Go?,0,,,
Natural High,Natural High,19,92,10,36.26315789473684
"Mercy, Mercy, Mercy","Mercy, Mercy, Mercy",0,,,
What It Feels Like For A Girl,What It Feels Like For A Girl,10,97,23,50.9
Crawling,Crawling,20,96,79,88.1
Freedom,Freedom,79,130,3,56.64556962025316
In The End,In The End,38,78,2,24.526315789473685
One Step Closer,One Step Closer,31,99,24,66.93548387096774
Start Me Up,Start Me Up,24,98,2,26.458333333333332
Undercover Of The Night,Undercover Of The Night,14,98,9,30.785714285714285
Waiting For That Day,Waiting For That Day,10,94,27,48.2
So Many Tears,So Many Tears,15,100,44,68.53333333333333
Sugar Hill,Sugar Hill,20,96,25,42.5
C.R.E.A.M.,C.R.E.A.M.,16,100,60,80.3125
Diary Of A Madman,Diary Of A Madman,7,95,82,86.14285714285714
Vivrant Thing,Vivrant Thing,14,71,26,37.714285714285715
Anything,Anything,86,133,15,40.95348837209303
East 1999,East 1999,13,99,62,85.15384615384616
Everything Is Everything,Everything Is Everything,18,98,35,65.88888888888889
Incarcerated Scarfaces/Ice Cream,Incarcerated Scarfaces/Ice Cream,0,,,
Turn It Up/Fire It Up,Turn It Up/Fire It Up,0,,,
War,War,28,104,1,23.142857142857142
Burning Down The House,Burning Down The House,21,101,9,44.714285714285715
Take Me To The River,Take Me To The River,26,110,26,56.57692307692308
I ll Be Good To You,I ll Be Good To You,0,,,
Family Affair,Family Affair,57,94,1,18.526315789473685
Trans-Europe Express,Trans-Europe Express,8,109,67,87.375
Art For Art's Sake,Art For Art's Sake,6,97,83,89.33333333333333
Good Morning Judge,Good Morning Judge,8,93,69,78.875
Rock The Party,Rock The Party,18,99,82,89.38888888888889
Also Sprach Zarathustra,Also Sprach Zarathustra,12,74,2,19.666666666666668
All I Need,All I Need,51,110,2,56.509803921568626
Step On,Step On,11,99,57,75.0909090909091
